Frame	Head.X	Head.Y	Feet.X	Feet.Y	ObjC	ObjId	1st_stage	2nd_stage	3rd_stage	4th_stage
11	332	109	395	273	1	1	3	0	0	2
12	332	116	393	279	1	1	3	0	0	2
13	333	123	390	285	1	1	3	0	0	2
14	333	128	392	287	1	1	3	0	0	2
15	333	133	394	289	1	1	3	0	0	2
16	332	139	396	292	1	1	3	0	0	2
17	330	142	396	293	1	1	3	0	0	2
18	328	145	395	294	1	1	3	0	0	2
19	326	149	394	296	1	1	3	0	0	2
20	326	149	394	300	1	1	3	0	0	2
21	325	149	394	304	1	1	3	0	0	2
22	324	148	393	309	1	1	3	0	0	2
23	322	150	391	308	1	1	3	0	0	2
24	320	152	389	307	1	1	3	0	0	2
25	318	155	387	305	1	1	3	0	0	2
26	318	157	387	312	1	1	3	0	0	2
27	318	159	388	319	1	1	3	0	0	2
28	318	161	389	326	1	1	3	0	0	2
29	317	163	390	334	1	1	3	0	0	2
30	317	171	390	339	1	1	3	0	0	2
31	317	179	391	345	1	1	3	0	0	2
32	316	188	392	351	1	1	3	0	0	2
33	316	190	392	351	1	1	3	0	0	2
34	316	192	392	351	1	1	3	0	0	2
35	316	194	393	351	1	1	3	0	0	2
36	315	199	393	350	1	1	3	0	0	2
37	314	204	394	349	1	1	3	0	0	2
38	313	209	395	347	1	1	3	0	0	2
39	314	213	395	347	1	1	3	0	0	2
40	316	218	396	347	1	1	3	0	0	2
41	317	222	397	347	1	1	3	0	0	2
42	319	227	398	348	1	1	3	0	0	2
43	319	234	397	356	1	1	3	0	0	2
44	319	242	396	365	1	1	3	0	0	2
45	319	249	395	374	1	1	3	0	0	2
46	319	257	393	383	1	1	3	0	0	2
47	318	258	393	383	1	1	3	0	0	2
48	316	259	393	383	1	1	3	0	0	2
49	314	260	393	383	1	1	3	0	0	2
50	312	261	392	383	1	1	3	0	0	2
51	311	261	391	383	1	1	3	0	0	2
52	310	262	389	384	1	1	3	0	0	2
53	309	262	388	385	1	1	3	0	0	2
54	308	263	386	386	1	1	3	0	0	2
55	307	263	385	387	1	1	3	0	0	2
56	305	264	383	388	1	1	3	0	0	2
57	305	265	383	389	1	1	3	0	0	2
58	304	266	383	390	1	1	3	0	0	2
59	304	267	383	392	1	1	3	0	0	2
60	303	269	384	394	1	1	3	0	0	2
61	303	269	385	394	1	1	3	0	0	2
62	303	269	386	394	1	1	3	0	0	2
63	303	269	387	394	1	1	3	0	0	2
64	303	269	388	394	1	1	3	0	0	2
65	303	269	389	394	1	1	3	0	0	2
66	305	272	391	394	1	1	3	0	0	2
67	307	275	393	394	1	1	3	0	0	2
68	309	278	395	394	1	1	3	0	0	2
69	311	281	397	394	1	1	3	0	0	2
70	313	283	399	394	1	1	3	0	0	2
71	315	287	401	394	1	1	3	0	0	2
72	318	290	404	393	1	1	3	0	0	2
73	323	293	409	396	1	1	2	0	0	0
74	328	297	414	400	1	1	2	0	0	0
75	333	301	419	404	1	1	2	0	0	0
76	338	304	424	407	1	1	2	0	0	0
77	343	308	429	411	1	1	2	0	0	0
78	348	312	434	415	1	1	2	0	0	0
79	348	312	434	415	1	1	2	0	0	0
80	348	311	434	416	1	1	2	0	0	0
81	348	311	434	417	1	1	2	0	0	0
82	348	310	434	418	1	1	2	0	0	0
